year,bray_curtis_dissimilarity_balanced_mean,bray_curtis_dissimilarity_gradient_mean,bray_curtis_dissimilarity_total_mean,jaccard_dissimilarity_turnover_mean,jaccard_dissimilarity_nestedness_mean,jaccard_dissimilarity_total_mean,domain
2002,0.385445005105837,0.264557773599261,0.650002778705098,0.41803641314959,0.110699783677167,0.528736196826757,Outer
2003,0.31297109992711,0.297475693063135,0.610446792990245,0.367889124978908,0.117376458368751,0.485265583347659,Outer
2004,0.336950753809513,0.250352768972395,0.587303522781908,0.380834059129136,0.126435868046961,0.507269927176096,Outer
2005,0.315306240547585,0.300758967599094,0.616065208146679,0.378455772318585,0.1212912019996,0.499746974318185,Outer
2006,0.37402886074613,0.213157792067415,0.587186652813545,0.380958500672238,0.116030965738842,0.49698946641108,Outer
2007,0.325686891494096,0.278774494921452,0.604461386415548,0.385871455949828,0.127551121093687,0.513422577043515,Outer
2008,0.384327442381614,0.251106501961749,0.635433944343363,0.417143838358665,0.116203658392502,0.533347496751166,Outer
2009,0.4051446641478,0.243634431833962,0.648779095981762,0.40387896487195,0.121098759240936,0.524977724112886,Outer
2010,0.35135154533282,0.270251276672183,0.621602822005003,0.403013468857544,0.130243575517888,0.533257044375433,Outer
2011,0.326443777201096,0.254184203445146,0.580627980646243,0.397926173385813,0.119603202468172,0.517529375853985,Outer
2012,0.330474732212815,0.242822010701306,0.573296742914121,0.41506894580931,0.118866196831299,0.533935142640609,Outer
2013,0.317702968467641,0.253641833087515,0.571344801555156,0.346962049181986,0.136415813646998,0.483377862828984,Outer
2014,0.25276646168648,0.238561255482047,0.491327717168526,0.368398437691268,0.115548467687299,0.483946905378567,Outer
2015,0.274836463857603,0.277383267289491,0.552219731147094,0.388481756185909,0.106374456333213,0.494856212519121,Outer
2016,0.264808176545616,0.26484508630914,0.529653262854756,0.401613619366451,0.113700248542308,0.51531386790876,Outer
2017,0.262132289461803,0.24342733118923,0.505559620651032,0.390932062961583,0.111998746283376,0.502930809244959,Outer
2018,0.319046541091222,0.270762270320568,0.58980881141179,0.402955854182987,0.125575840556866,0.528531694739854,Outer
2019,0.313575363943133,0.242902857675358,0.556478221618491,0.419515524570038,0.104274419996494,0.523789944566532,Outer
